p1,p2,p3,p4,Recall1,Recall2,r1,r2,r3,r4,r5,r6,rl1,rl2,rl3,rl4,rl5,rl6,d1,d2,d3,d4,d5,d6,t1,t2,t3,t4,t5,t6,a11,a12,a13,a14,a15,a16,a17,a18,a19,a21,a22,a23,a24,a25,a26,a27,a28,a29,bp1,bp2,bp3,bp4,bp5,bp6,u1,u2,u3,u4,u5,u6,e11,e12,e13,e14,e10,e21,e22,e23,e24,e20,e31,e32,e33,e34,e30,e41,e42,e43,e44,e40,e51,e52,e53,e54,e50,e61,e62,e63,e64,e60,M1,M2,M3,M4,M5,SM0,SM1,SM2,SM3,SM4,SM5,SM6,attend,sth,Gender,zip,yob,Income,married,kids,residence,retake,Sex,single_married,homeowner,children,Social_Channels,Passion,OcshnerBE,FAC1_1,FAC2_1,FAC3_1,age,HHIncome,neighborhood_income,neighborhood_age,neighborhood_edu,neighborhood_pop
100,100,100,55,1,1,100,100,57,75,52,14,82,50,27,75,48,20,100,68,47,67,41,11,100,79,39,76,71,10,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,100,13,14,100,14,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,17,1,0,17,17,1,0,0,0,0,0,0,6,1,2,70507,1968,0,1,1,1,1,2,1,1,1,0,88.75,78.6,0.5826228605694476,-1.220394716148618,0.5271128851780817,55,4,64383,36.8,2708,18777
40,20,40,20,1,1,92,91,40,20,71,73,2,10,2,0,83,99,100,100,50,98,68,95,32,93,9,3,78,80,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,51,50,8,5,100,98,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,17,8,1,6,2,1,0,0,0,0,0,0,0,1,2,70005,1963,0,3,0,1,3,2,0,1,0,0,30,25.2,-1.8966574308833544,2.2011411716282656,0.9530272259139594,60,4,82890,45.4,5399,23555
100,46,100,100,0,1,97,56,54,100,47,72,10,10,9,14,9,8,89,39,40,72,83,53,100,43,8,78,46,20,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,100,10,29,100,31,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,17,1,17,1,16,0,1,0,0,0,1,0,0,0,1,34452,1965,0,1,0,1,1,1,1,1,0,2,86.5,72.8,0.4238745063279392,0.06509780969357896,-0.18314853298709716,58,4,55122,46.8,1095,13592
100,90,100,100,1,1,50,50,50,50,50,50,51,50,52,49,49,49,50,49,50,50,50,49,52,52,51,51,51,51,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,70,71,70,71,70,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17,17,17,17,17,0,1,1,1,0,0,0,0,0,1,91107,1965,0,1,0,1,1,1,1,1,0,3,97.5,54.2,-0.5574789580846208,0.7053371266883982,0.33348645284899736,58,4,120822,42.8,7623,32581
88,63,89,100,1,1,2,8,4,64,5,3,4,5,3,8,9,2,3,4,6,71,1,2,10,9,9,54,41,6,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,8,8,7,9,9,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17,3,17,9,3,0,1,0,0,0,0,0,0,0,2,70816,1985,0,5,0,1,1,2,0,1,0,1,85,41.2,-0.4235250560616293,-0.8669698999101453,-0.6300804708169887,38,4,64960,33.1,6401,44610
100,90,100,100,1,1,80,50,1,40,1,1,30,20,0,0,0,0,79,91,1,82,0,0,100,100,0,100,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,99,53,1,100,31,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,15,1,17,17,17,0,0,0,1,0,0,0,1,0,2,35121,1968,0,1,1,1,1,2,1,1,1,1,97.5,64.4,0.42309821104503714,-0.7953649703633728,-1.1264975200263383,55,4,51098,43.5,1128,16591
100,50,99,99,0,0,1,5,74,98,1,57,1,1,2,73,1,1,1,2,44,99,1,2,1,1,47,98,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,63,98,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,17,17,17,17,17,0,1,0,0,0,0,0,2,1,2,96768,1961,0,3,0,2,1,2,0,0,0,1,87,93.2,1.3698878139508286,-0.30355728997949416,-1.7054110034417749,62,4,113528,44.8,2779,18662
80,82,91,81,1,1,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,15,4,17,17,9,0,1,0,1,0,0,0,1,0,2,71203,1959,0,1,0,1,1,2,1,1,0,2,83.5,1,-1.8221993847083615,-0.7571200945076384,-0.6919410372555685,64,4,43298,33.5,4754,40063
80,70,76,100,1,1,13,10,11,90,92,43,6,8,7,100,62,19,80,7,3,93,70,8,8,9,10,94,49,15,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,7,8,8,90,59,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,12,1,1,1,1,0,1,0,0,0,0,0,0,0,2,70003,1965,0,1,0,1,3,2,1,1,0,1,81.5,93.4,0.9283064320167376,-1.5045758015871584,1.42113645394054,58,4,76626,45.7,6480,40529
84,22,50,18,1,1,7,7,8,58,20,17,9,6,8,88,25,31,9,6,9,86,29,15,7,8,9,85,50,27,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,83,7,8,86,5,8,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,17,1,17,10,14,0,1,0,0,0,0,0,5,1,2,70116,1959,0,1,999,1,4,2,1,1,0,1,43.5,80.6,0.6884689277392434,-0.6913096955572109,-0.3897504361449299,64,4,43226,44.3,2388,10482
